,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Hoquiam,US,46.9809,-123.8893,43.0,81,90,13.8,moderate rain
309,Jalu,LY,29.0331,21.5482,57.36,46,90,4.41,overcast clouds
310,Pevek,RU,69.7008,170.3133,9.25,92,100,11.01,overcast clouds
311,Yulara,AU,-25.2406,130.9889,89.6,18,90,14.97,overcast clouds
312,Tura,IN,25.5198,90.2201,61.7,53,0,1.86,clear sky
313,Kawalu,ID,-7.3817,108.2082,81.57,72,100,0.72,overcast clouds
314,Adrar,MR,20.5022,-10.0711,67.33,25,72,7.16,broken clouds
315,Phek,IN,25.6667,94.5,45.66,80,3,1.66,clear sky
316,Zaysan,KZ,47.4667,84.8667,12.88,91,41,1.83,scattered clouds
317,Islamkot,PK,24.6997,70.177,59.86,57,0,7.23,clear sky
318,Jardim,BR,-21.4803,-56.1381,77.86,78,100,3.94,light rain
319,Faanui,PF,-16.4833,-151.75,81.81,76,0,13.44,clear sky
320,Ulladulla,AU,-35.35,150.4667,73.4,40,0,10.36,clear sky
321,Bonthe,SL,7.5264,-12.505,77.68,88,12,4.27,few clouds
322,Ceyhan,TR,37.0247,35.8175,59.0,51,0,16.11,clear sky
323,Mitsamiouli,KM,-11.3847,43.2844,82.42,72,91,3.51,overcast clouds
324,Arbuzynka,UA,47.9097,31.3196,34.03,98,100,3.69,overcast clouds
325,Bulaevo,KZ,54.9056,70.4439,31.87,98,100,17.34,overcast clouds
326,Nisia Floresta,BR,-6.0911,-35.2086,80.6,74,20,8.05,few clouds
327,Klaksvik,FO,62.2266,-6.589,32.0,80,0,10.36,clear sky
328,Port Blair,IN,11.6667,92.75,76.37,76,0,11.07,clear sky
329,Santa Cruz,BO,-17.8,-63.1667,77.0,94,75,4.61,broken clouds
330,Kavaratti,IN,10.5669,72.642,81.1,72,15,6.91,few clouds
331,Ust-Kut,RU,56.7938,105.7672,-12.06,86,100,4.34,light snow
332,Diamantino,BR,-14.4086,-56.4461,77.54,76,99,3.09,overcast clouds
333,Deputatskiy,RU,69.3,139.9,-27.06,88,100,2.48,overcast clouds
334,Umea,SE,63.8284,20.2597,8.6,85,40,11.5,scattered clouds
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.2,73,75,4.47,light snow
336,Sabzevar,IR,36.2126,57.6819,40.26,67,0,6.22,clear sky
337,Wanning,CN,18.8003,110.3967,72.7,70,67,10.04,broken clouds
338,Freeport,US,40.6576,-73.5832,30.99,93,90,13.8,light snow
339,Susangerd,IR,31.5608,48.1831,46.4,71,0,2.3,clear sky
340,Vila,PT,42.0304,-8.1588,51.01,95,96,14.0,light rain
341,Zapolyarnyy,RU,69.4154,30.8136,23.0,86,90,16.11,overcast clouds
342,Amahai,ID,-3.3333,128.9167,85.39,66,95,2.13,overcast clouds
343,Petropavl,KZ,54.8753,69.1628,33.55,94,100,15.73,overcast clouds
344,Hanmer Springs,NZ,-42.5167,172.8167,79.63,23,0,6.51,clear sky
345,Inhambane,MZ,-23.865,35.3833,79.39,85,92,3.31,overcast clouds
